ID,q_cfs_da,q_cfs_no_da
5780071,4.960015220321517,0.14759507484901663
5781211,493.2694614934068,494.50678781957254
5781313,150.0125369638738,1193.6103626546694
5781485,0.1126667621270896,0.01231055125230551
5780101,0.06349523960143846,0.011392489715442098
5779031,7107.873592248838,7107.873765493613
5781153,2002.9196899178219,1901.7885385578145
5781113,128.05694403177532,128.19967876641772
5781759,145.60507509854617,145.6981688273619
5781393,445.70019956688355,481.82714779180895
5781349,349.73984409025394,349.73984409025394
5781925,350.01174416011975,350.01174416011975
5781419,1.959184893953372,1.959184893953372
5781259,6832.172972551672,6218.708464547353
5781203,7604.26295948936,3583.5499705807742
5781379,25.906395071619954,76.72432774527385
5781943,0.0036623578811793324,0.0024720278820237005
5781427,26.278974470415275,71.61989976162677
5781437,0.00332997200498772,0.0024720278820237005
5781941,0.005391068827049271,0.0024720278820237005
5781935,26.48186849250884,76.70969018874248
5781937,25.882855677348267,71.96157969003146
5781367,138.89193191627385,138.89193191627385
5781361,614.2738120011146,2867.788724549243
5781731,348.72120588952254,2734.769942532043
5781343,1128.1465993254044,2302.4295922775423
5781345,167.5109984359269,1161.122021863302
5781359,255.65181332604254,265.62779814919185
5781341,0.11892194239868582,26.203703283637466
5781353,1031.1946641507586,1118.2116932381507
5781397,392.2932463906151,393.37156401719864
5781355,44.351640289062196,19.223337012035866
5781377,5.2635924855944225,148.32014991013176
5781391,0.6684648271934601,0.0024720278820237014
5781401,13.720141892836772,273.2287451062505
5781399,201.21134166708123,257.52734915715735
5781383,255.0623146818393,257.8752100219796
5781365,257.61447647792096,259.3957704539577
5781933,257.3241615061231,259.3378893420402
5781381,8.480574536577915,11.622170759896116
5781405,0.08857008834875257,0.024367131979947883
5781429,6.617883599148605,21.752783666274894
5781435,0.08309106585509014,1.6096415472833967
5781449,0.08216645074213874,0.08193131581579603
5781445,0.07174134239893315,0.071688803722345
5781415,0.013994203148401569,2.034195305750625
5781439,0.004266385177446731,0.004237762083469198
5781441,0.006361117737979011,0.0063566431252038
5781457,123.77857541566907,160.70889691603318
5781469,0.7415682424469332,0.7510915597122467
5781465,0.21669765452422268,0.0010594405208672985
5781467,0.045924249559924885,0.0003531468402890997
5781463,0.14670049836238758,0.0007062936805781988
5781451,1.6916683579649525,0.023660838299369696
5781945,1.6118836434785881,0.023660838299369692
5781443,1.2290710317842508,0.020835663577056896
5780063,1.0735551704427013,0.020129369896478698
5780067,3.613741631097504,3.633408738856894
5780077,0.01730299741873067,0.01730419517416555
5780057,0.011151108339115137,0.007416083646071096
5780085,1.7850018867321353,1.667394044083898
5780093,0.13652558565645173,0.0681545154430086
5780083,1.9044679603099464,1.9046551593042156
5781489,3.258966756429401,0.017403103322791148
5781433,17.708812320358593,27.800483775262673
5781461,0.004415659409176045,0.0038846152431800955
